epoch,accuracy,loss,val_accuracy,val_loss
0,0.37973982095718384,1.3260433673858643,0.47838616371154785,1.264628529548645
1,0.6587323546409607,0.9560378789901733,0.6484149694442749,0.904414176940918
2,0.796291172504425,0.5567455887794495,0.6858789920806885,0.8026931285858154
3,0.8480486869812012,0.405240923166275,0.7060518860816956,0.7863656878471375
4,0.8917796611785889,0.319663941860199,0.7089337110519409,0.8129657506942749
5,0.9056186079978943,0.2662402093410492,0.7002881765365601,0.8911415934562683
6,0.9247162938117981,0.21830029785633087,0.6945244669914246,0.9107414484024048
7,0.9404926896095276,0.18253794312477112,0.7146974205970764,0.9593582153320312
8,0.9515637755393982,0.1575198471546173,0.6945244669914246,1.0147624015808105
9,0.9604207277297974,0.13857176899909973,0.6945244669914246,1.0905174016952515
10,0.9659562706947327,0.12151335924863815,0.6685879230499268,1.1389226913452148
11,0.9659562706947327,0.10983939468860626,0.6714697480201721,1.1839739084243774
12,0.9681705236434937,0.10654373466968536,0.6685879230499268,1.2111612558364868
13,0.9681705236434937,0.09992151707410812,0.6945244669914246,1.2003757953643799
14,0.973429262638092,0.09273721277713776,0.6570605039596558,1.2924476861953735
15,0.9723221659660339,0.08930864185094833,0.6829971075057983,1.3003538846969604
16,0.9761970639228821,0.08007580786943436,0.6599423885345459,1.3613215684890747
17,0.9739828109741211,0.07988117635250092,0.6829971075057983,1.3768236637115479
18,0.975643515586853,0.07876236736774445,0.6714697480201721,1.390947937965393
19,0.9761970639228821,0.07400119304656982,0.6685879230499268,1.3995251655578613
20,0.976473867893219,0.07345790416002274,0.6685879230499268,1.4409466981887817
21,0.9775809645652771,0.0721016526222229,0.6685879230499268,1.4503775835037231
22,0.9773041605949402,0.06814233213663101,0.680115282535553,1.466975450515747
23,0.9786880612373352,0.0640789344906807,0.680115282535553,1.478266954421997
24,0.9753667116165161,0.06450792402029037,0.6685879230499268,1.4946777820587158
